0,133691,2728
1,225766,17801
2,1358354,78954
3,1358354,150206
4,1658241,214643
5,1658241,243870
6,2026872,375546
7,2026872,483639
8,3007063,810041
9,3007063,999759
10,6502823,1437029
11,9127290,1762253
12,10252843,2215042
13,10252843,2853282
14,11060451,3362675
15,11060451,3603296
16,11060451,4543795
17,17179319,4992122
18,17179319,5711165
19,19185642,6280164
20,21586204,6974264
21,21586204,8737582
22,21586204,9091362
23,21586204,10129941
24,21586204,10319317
25,21586204,11019794
26,22795906,10091836
27,22795906,9878107
28,25703545,11125037
29,25703545,10808306
30,25703545,11390303
31,25703545,10284600
32,26742632,11375346
33,26742632,10898158
34,26742632,11638245
35,26742632,12141524
36,26742632,14492519
37,28281209,13988732
38,28281209,14494920
39,39526768,15285804
40,39526768,16483468
41,39526768,14943944
42,39526768,15519954
43,39526768,16691219
44,39526768,15876453
45,39526768,13123275
46,39526768,17427751
47,39526768,15973314
48,39526768,15105798
49,39526768,17324735
