0,3419,90
1,3788,216
2,7780,770
3,7780,1445
4,7863,2918
5,7931,4702
6,8004,6350
7,8011,7139
8,8031,7585
9,8031,7639
10,8031,7426
11,8031,7454
12,8031,7597
13,8080,7736
14,8080,7607
15,8080,7707
16,8080,7559
17,8080,7646
18,8080,7707
19,8080,7630
20,8080,7547
21,8080,7650
22,8080,7743
23,8080,7773
24,8080,7812
25,8080,7678
26,8080,7676
27,8080,7699
28,8109,7803
29,8109,7870
30,8109,7790
31,8109,7824
32,8109,7837
33,8109,7770
34,8109,7720
35,8109,7838
36,8236,7904
37,8236,7733
38,8236,7705
39,8236,7854
40,8236,7820
41,8236,7848
42,8236,7868
43,8236,7725
44,8236,7897
45,8236,7876
46,8236,7812
47,8236,7854
48,8236,7783
49,8236,7753
50,8236,7798
51,8236,7866
52,8236,7802
53,8236,7805
54,8236,7768
55,8236,7848
56,8246,7741
57,8246,7664
58,8246,7608
59,8246,7697
60,8246,7761
61,8246,7539
62,8246,7771
63,8276,7852
64,8276,7880
65,8276,7940
66,8276,7752
67,8276,7717
68,8276,7937
69,8276,7894
70,8276,7939
71,8276,7820
72,8276,7746
73,8276,7712
74,8276,7740
75,8276,7648
76,8276,7781
77,8276,7936
78,8276,7827
79,8276,7630
80,8276,7732
81,8276,7602
82,8276,7930
83,8276,7792
84,8276,7608
85,8276,7590
86,8276,7817
87,8276,7905
88,8276,7719
89,8276,7864
90,8276,7814
91,8276,7861
92,8276,7882
93,8276,7769
94,8276,7750
95,8276,7739
96,8276,7865
97,8276,7624
98,8276,7858
99,8276,7632
