(opt) 1633: -24.17, -43.07, -40.07, -5.88, -6.34, 36.36, 0.17, -34.29, -39.31, 42.86
(opt) 8941: -4.38, 3.79, -0.60, -44.73, -2.29, 44.79, 46.89, 37.60, 46.98, 11.59
(opt) 286611: -45.44, -0.35, 2.90, -36.27, -9.14, 28.36, 40.85, 42.64, 40.48, 24.47
(opt) 286611: -45.44, -0.35, 2.90, -36.27, -9.14, 28.36, 40.85, 42.64, 40.48, 24.47
(opt) 286611: -45.44, -0.35, 2.90, -36.27, -9.14, 28.36, 40.85, 42.64, 40.48, 24.47
(opt) 13181977: -52.04, -0.40, 3.33, -41.55, -10.47, 32.48, 46.79, -5.88, 46.36, 4.06
(opt) 17179517: -52.04, -0.40, 3.33, -41.55, -10.47, 32.48, 46.79, -5.88, 46.36, 4.06
(opt) 17179517: -52.04, -0.40, 3.33, -41.55, -10.47, 32.48, 46.79, -5.88, 46.36, 4.06
(opt) 19768607: -57.29, -0.44, 3.66, -45.74, -11.52, 35.76, 51.50, -5.21, -22.38, 4.47
(opt) 19768607: -57.29, -0.44, 3.66, -45.74, -11.52, 35.76, 51.50, -5.21, -22.38, 4.47
(opt) 22418152: -26.67, -0.39, 3.27, -62.57, -10.28, 31.92, 45.97, -5.78, 45.56, 3.99
